일련번호,나이,학력,성별,정신건강,전문직,개발공부기간,연차,국적,연봉,보유기술개수
DEV445,>35,PhD,Man,No,NotDev,5,3,Germany,75669.0,5.0
DEV446,>35,Undergraduate,Man,No,Dev,23,22,United States of America,149000.0,8.0
DEV447,>35,Undergraduate,Man,No,Dev,30,5,United States of America,150000.0,9.0
DEV448,>35,PhD,Man,No,NotDev,8,2,United States of America,83000.0,6.0
DEV449,>35,Undergraduate,Man,No,Dev,14,9,South Korea,39201.0,18.0
DEV450,<35,Undergraduate,Man,No,Dev,21,10,India,62828.0,8.0
DEV451,<35,PhD,Man,Yes,Dev,10,6,United States of America,125000.0,4.0
DEV452,>35,Undergraduate,Man,No,NotDev,28,16,United States of America,130000.0,17.0
DEV453,>35,Undergraduate,Man,No,Dev,22,20,United Kingdom of Great Britain and Northern Ireland,64630.0,11.0
DEV454,>35,Master,Man,Yes,Dev,30,15,United Kingdom of Great Britain and Northern Ireland,81433.0,5.0
DEV455,<35,Undergraduate,Man,No,Dev,10,4,Germany,165000.0,18.0
DEV456,>35,Master,Man,No,Dev,20,12,Germany,62697.0,8.0
DEV457,>35,Master,Man,No,Dev,37,28,United States of America,180000.0,10.0
DEV458,>35,Other,Man,No,Dev,9,7,Germany,58373.0,19.0
DEV459,<35,Other,Man,No,Dev,6,3,Germany,31908.0,16.0
DEV460,<35,Other,Man,Yes,Dev,8,4,United States of America,65000.0,9.0
DEV461,<35,Master,Man,No,Dev,9,7,Germany,75669.0,4.0
DEV462,<35,Other,Man,No,Dev,12,5,United States of America,150000.0,18.0
DEV463,<35,Master,Man,No,Dev,6,2,United States of America,170000.0,13.0
DEV464,<35,Master,Man,No,Dev,16,13,India,38532.0,15.0
DEV465,>35,Master,Man,No,Dev,30,25,United States of America,1.0,16.0
DEV466,<35,Undergraduate,Man,No,Dev,15,11,India,41880.0,16.0
DEV467,<35,Undergraduate,Man,No,Dev,11,6,India,16754.0,12.0
DEV468,>35,Master,Man,No,Dev,6,5,United States of America,35000.0,9.0
DEV469,<35,Master,Man,Yes,Dev,17,8,United States of America,90000.0,10.0
DEV470,>35,Master,Man,No,NotDev,18,9,Germany,94045.0,12.0
DEV471,<35,Undergraduate,NonBinary,No,Dev,6,4,United States of America,91350.0,15.0
DEV472,<35,Undergraduate,Man,No,Dev,4,5,India,10052.0,16.0
DEV473,<35,Master,Man,Yes,NotDev,15,12,United Kingdom of Great Britain and Northern Ireland,52116.0,3.0
DEV474,<35,Other,Man,No,Dev,11,8,India,27923.0,10.0
DEV475,<35,Undergraduate,Man,Yes,Dev,6,0,Germany,56211.0,4.0
DEV476,<35,Other,Woman,Yes,Dev,11,8,United States of America,42000.0,21.0
DEV477,<35,Undergraduate,Woman,Yes,Dev,8,5,United Kingdom of Great Britain and Northern Ireland,39553.0,10.0
DEV478,<35,Master,Man,No,Dev,9,3,United States of America,130000.0,26.0
DEV479,<35,Master,Man,Yes,NotDev,15,5,United Kingdom of Great Britain and Northern Ireland,38778.0,7.0
DEV480,<35,NoHigherEd,Man,No,Dev,13,13,United States of America,80000.0,14.0
DEV481,<35,Undergraduate,Man,No,Dev,6,6,United States of America,89000.0,8.0
DEV482,>35,Undergraduate,Man,No,Dev,21,15,United States of America,95000.0,31.0
DEV483,>35,Undergraduate,Man,Yes,Dev,30,24,United States of America,177000.0,9.0
DEV484,>35,Other,Man,Yes,Dev,34,21,Canada,60505.0,13.0
DEV485,<35,Undergraduate,Man,No,Dev,5,1,India,6981.0,21.0
DEV486,>35,Undergraduate,Man,No,NotDev,30,20,United States of America,100000.0,2.0
DEV487,>35,Other,Man,No,Dev,14,8,Canada,60505.0,15.0
DEV488,>35,Undergraduate,Man,Yes,Dev,3,2,United States of America,55000.0,8.0
DEV489,>35,Undergraduate,Man,No,Dev,13,13,United States of America,156000.0,7.0
DEV490,>35,Other,Man,Yes,Dev,27,23,Germany,72636.0,10.0
DEV491,<35,Undergraduate,Man,No,Dev,18,9,United Kingdom of Great Britain and Northern Ireland,77556.0,11.0
DEV492,<35,Master,Man,Yes,Dev,3,1,Canada,51429.0,2.0
DEV493,>35,Undergraduate,Man,No,Dev,4,3,United States of America,90000.0,3.0
DEV494,<35,Undergraduate,Man,No,Dev,16,12,United States of America,135000.0,19.0
DEV495,>35,Undergraduate,Man,No,Dev,16,13,Canada,52942.0,12.0
DEV496,<35,PhD,Man,Yes,Dev,9,4,United Kingdom of Great Britain and Northern Ireland,116333.0,7.0
DEV497,<35,PhD,Man,No,Dev,25,8,United States of America,130000.0,29.0
DEV498,>35,Undergraduate,Man,No,Dev,35,20,United States of America,194620.0,15.0
DEV499,<35,Undergraduate,Man,No,Dev,9,7,Germany,97504.0,3.0
DEV500,<35,Other,Man,No,Dev,12,5,Germany,63778.0,10.0
DEV501,<35,Master,Man,No,Dev,10,5,United Kingdom of Great Britain and Northern Ireland,142185.0,13.0
DEV502,<35,NoHigherEd,Man,Yes,Dev,10,6,United Kingdom of Great Britain and Northern Ireland,64630.0,13.0
DEV503,<35,NoHigherEd,Man,No,Dev,19,12,Germany,49725.0,6.0
DEV504,<35,Undergraduate,Man,No,Dev,6,4,India,6283.0,10.0
DEV505,>35,Undergraduate,Man,No,Dev,30,7,United Kingdom of Great Britain and Northern Ireland,60141.0,4.0
DEV506,<35,Undergraduate,Man,Yes,Dev,25,7,Germany,70264.0,11.0
DEV507,<35,Undergraduate,Woman,No,Dev,13,6,Canada,58236.0,16.0
DEV508,>35,Master,Man,Yes,Dev,38,25,United States of America,129000.0,20.0
